Type,Status,City,State,PostalCode,GenderCode,BirthDate,MaritalStatus,Enrolled on ,Living status
Individual,Active,Valsad,GUJARAT,396001,MALE,2-Nov-92,M,14-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500011,FEMALE,25-Nov-88,M,14-Aug-18,couple with children
Individual,Active,Nalgonda,TELANGANA,508101,MALE,13-Jun-83,M,14-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500028,MALE,13-Jul-75,M,14-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500018,FEMALE,7-Aug-86,M,14-Aug-18,couple with children
Individual,Active,Nizamabad,TELANGANA,503114,MALE,20-May-97,M,14-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500081,MALE,26-Jun-82,M,14-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500064,FEMALE,20-Jun-77,M,14-Aug-18,couple with children
Individual,Active,Guntur,ANDHRA PRADESH,522006,MALE,23-Jul-75,M,14-Aug-18,couple with children
Individual,Active,Barasat,WEST BENGAL,700124,FEMALE,14-Jul-66,M,14-Aug-18,couple with children
Individual,Active,24 Parganas,WEST BENGAL,700157,MALE,10-Aug-61,M,14-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500013,FEMALE,4-Jan-90,M,14-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500090,MALE,14-Nov-78,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500089,FEMALE,10-Dec-92,M,15-Aug-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560072,FEMALE,17-Feb-88,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500050,MALE,5-Aug-81,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500020,MALE,17-May-90,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500018,MALE,30-Apr-89,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500029,MALE,6-Jun-98,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500062,FEMALE,23-Sep-80,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500008,MALE,18-May-85,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500028,MALE,25-Mar-82,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500031,MALE,4-May-93,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500089,MALE,14-Oct-87,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500050,MALE,2-Jan-90,M,15-Aug-18,couple with children
Individual,Active,New Delhi,DELHI,110075,FEMALE,21-Sep-88,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500089,FEMALE,19-Apr-92,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500016,FEMALE,15-Jul-76,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500034,MALE,10-Sep-79,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500019,MALE,6-Oct-71,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500091,FEMALE,25-Jul-90,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500090,MALE,22-Aug-89,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500094,MALE,20-Jul-66,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,19-Jun-83,M,15-Aug-18,couple with children
Individual,Active,Karimnagar,TELANGANA,505001,MALE,22-Jun-94,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500083,MALE,27-Sep-77,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500027,FEMALE,16-Sep-64,M,15-Aug-18,couple with children
Individual,Active,Kurnool,ANDHRA PRADESH,518002,MALE,6-Aug-95,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500064,MALE,7-Nov-91,M,15-Aug-18,couple with children
Individual,Active,Nashik,MAHARASHTRA,422013,MALE,28-Apr-88,M,15-Aug-18,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400052,MALE,8-Sep-77,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500001,FEMALE,26-Sep-00,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500016,MALE,10-Jan-90,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500037,MALE,12-Jun-82,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500007,MALE,14-Mar-71,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500016,FEMALE,20-Apr-60,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,3-Aug-59,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500084,MALE,23-Jan-82,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500062,MALE,2-Jan-76,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500001,FEMALE,10-Sep-96,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500052,MALE,2-Jun-74,M,15-Aug-18,couple with children
Individual,Active,Nellore,ANDHRA PRADESH,524003,FEMALE,13-Sep-86,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500003,MALE,15-Mar-83,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500004,MALE,7-Aug-78,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,501218,MALE,23-Aug-81,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500064,MALE,10-Sep-81,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500013,MALE,19-Nov-95,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500080,MALE,22-Jul-94,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,20-Mar-66,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500011,FEMALE,9-Dec-82,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500001,MALE,10-Oct-79,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500017,MALE,26-Oct-96,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500072,FEMALE,25-Apr-91,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500042,MALE,14-May-75,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,15-Feb-69,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500100,MALE,23-Dec-92,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500010,FEMALE,31-Mar-92,M,15-Aug-18,couple with children
Individual,Active,Nashik,MAHARASHTRA,422013,MALE,26-May-76,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500004,MALE,13-Dec-78,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500042,FEMALE,9-Aug-85,M,15-Aug-18,couple with children
Individual,Active,Nalgonda,TELANGANA,508001,FEMALE,4-Aug-82,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500061,MALE,5-Jun-87,M,15-Aug-18,couple with children
Individual,Active,Lucknow,UTTAR PRADESH,226022,MALE,16-Dec-82,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,501301,MALE,2-Feb-89,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500018,MALE,3-Jan-86,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,5-Nov-87,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500001,MALE,5-Sep-84,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500084,MALE,10-May-88,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500096,FEMALE,16-Nov-90,M,15-Aug-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560035,MALE,1-Jan-80,M,15-Aug-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500024,MALE,7-Apr-94,M,15-Aug-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,21-Jul-84,M,15-Aug-18,couple with children
